date,game,league,team_a,a_score,b_score,team_b,time,image
5-Sep,392,16B,Eagles,46,62,WCSS,14:00 - 15:15,results
5-Sep,,,,,,,15:15 - 16:30,results
5-Sep,,,,,,,16:30 - 17:45,results
5-Sep,393,12G,Gugulethu Hustlers,22,10,Cape Waves,09:00 - 10:15,results
5-Sep,394,12B,Heideveld,18,25,Cape Waves,10:15 - 11:30,results
5-Sep,395,14G,Heideveld,13,29,Future Stars,11:30 - 12:45,results
5-Sep,396,16G,Cape Waves,13,18,Themba - Elihle,12:45 - 14:00,results
5-Sep,397,16B,Gugulethu Hustlers,30,22,Flames,14:00 - 15:15,results
5-Sep,398,18B,Themba - Elihle,40,39,Flames,15:15 - 16:30,results
5-Sep,399,16B,Islamia College,0,20,Cape Waves,16:30 - 17:45,results
6-Sep,400,M1,MVBC,58,56,UCT,13:00 - 14:30,mvbc
6-Sep,401,M1,Dragons,32,24,Maties,14:30 - 16:00,results
6-Sep,402,M1,Heideveld,54,34,Langa Kings,16:00 - 17:30,results
6-Sep,404,SLL,CPUT Cats 1,20,0,Cape Waves,13:00 - 14:30,results
6-Sep,405,SLL,CPUT Cats 2,57,34,Lethal Ladies,14:30 - 16:00,results
11-Sep,408,SL,Heideveld,72,80,Cape Waves,19:00 - 20:30,results
11-Sep,386,M1,Panthers,53,61,Hellas,19:00 - 20:30,results
11-Sep,410,SL,CPUT Cats,74,61,Gugulethu Hustlers,20:30 - 22:00,results
11-Sep,411,SLL,UCT,0,20,Gugulethu Hustlers,20:30 - 22:00,results
12-Sep,412,12G,MVBC,23,7,Turfhall Primary,9:00 - 10:15,mvbc
12-Sep,413,12G,Cape Waves,21,22,Islamia College,9:00 - 10:15,results
12-Sep,414,12B,Cape Waves,7,13,Turfhall Primary,10:15 - 11:30,results
12-Sep,415,12B,Islamia College,35,11,Future Stars,10:15 - 11:30,results
12-Sep,416,12G,Gugulethu Hustlers,14,5,Turfhall Primary,11:30 - 12:45,results
12-Sep,417,14G,Heideveld,2,72,MVBC,11:30 - 12:45,mvbc
12-Sep,418,16B,MVBC,87,7,Future Stars,12:45 - 14:00,mvbc
12-Sep,417,16B,Heideveld,103,18,Islamia College,12:45 - 14:00,results
12-Sep,420,14B,MVBC,61,29,Cape Waves,14:00 - 15:15,mvbc
12-Sep,421,14B,Eagles,51,17,Future Stars,14:00 - 15:15,results
12-Sep,422,18B,Heideveld,67,44,MVBC,15:15 - 16:30,mvbc
12-Sep,423,16G,WCSS,31,36,Gugulethu Hustlers,15:15 - 16:30,results
12-Sep,424,18B,WCSS,118,19,Themba - Elihle,16:30 - 17:45,results
12-Sep,425,16G,MVBC,103,13,Future Stars,16:30 - 17:45,mvbc
13-Sep,426,16G,MVBC,80,7,Eagles,13:00 - 14:30,mvbc
13-Sep,,,,,,,13:00 - 14:30,results
13-Sep,352,SL,UCT,98,96,CPUT Cats,14:30 - 16:00,results
13-Sep,407,M1,Heideveld,44,75,MVBC,14:30 - 16:00,mvbc
13-Sep,430,SL,CPUT Alumni,78,38,Eagles,16:00 - 17:30,results
13-Sep,403,SLL,Lethal Ladies,64,38,Gugulethu Hustlers,16:00 - 17:30,results
14-Sep,432,SL,Heideveld,53,71,CPUT Alumni,19:00 - 20:30,results
14-Sep,433,M1,Hellas,50,44,Flames,19:00 - 20:30,results
14-Sep,434,M1,Panthers,64,74,Eagles,20:30 - 22:00,results
14-Sep,435,M1,Heideveld,63,53,UCT,20:30 - 22:00,results
16-Sep,428,SL,UCT,93,33,Maties,19:00 - 20:30,results
16-Sep,387,L1,Heideveld,59,23,Panthers,19:00 - 20:30,results
16-Sep,406,M1,UCT,52,36,Maties,20:30 - 22:00,results
16-Sep,431,SLL,MVBC,68,34,Maties,20:30 - 22:00,mvbc
